Game Title,User Rating,Age Group Targeted, Price ,Platform,Release Year,Genre,User Review Text,Game Mode
The Legend of Zelda: Breath of the Wild,40,All Ages,53.29,Mobile,2014,Puzzle,"Amazing game, but too many bugs.",Online
Halo Infinite,31,Kids,34.17,Xbox,2022,RPG,"Solid game, but the gameplay is amazing.",Online
Stardew Valley,39,Kids,49.71,Xbox,2012,Puzzle,"Amazing game, but too many bugs.",Online
Fortnite,39,Teens,47.89,Nintendo Switch,2020,Simulation,"Solid game, but the graphics could be better.",Offline
Spelunky 2,33,Teens,48.32,Mobile,2020,Action,"Amazing game, but too many bugs.",Offline
Minecraft,30,Teens,34.71,Mobile,2011,Party,"Solid game, but too many bugs.",Online
Among Us,28,All Ages,54.59,Nintendo Switch,2023,Adventure,"Disappointing game, but the gameplay is amazing.",Offline
Halo Infinite,35,Kids,42.75,Nintendo Switch,2015,RPG,"Solid game, but the graphics could be better.",Offline
Super Smash Bros. Ultimate,44,All Ages,59.32,PlayStation,2010,Party,"Great game, but too many bugs.",Offline
1000-Piece Puzzle,29,Adults,39.53,PC,2018,Party,"Amazing game, but the gameplay is amazing.",Offline
Pokémon Scarlet & Violet,30,Teens,51.73,Xbox,2010,Adventure,"Solid game, but the graphics could be better.",Online
Kingdom Hearts III,30,All Ages,51.02,Mobile,2018,Shooter,"Amazing game, but too many bugs.",Online
League of Legends,19,Teens,23.08,Nintendo Switch,2010,Party,"Solid game, but the gameplay is amazing.",Offline
Overwatch 2,14,Teens,25.33,Xbox,2016,Strategy,"Disappointing game, but the gameplay is amazing.",Offline
The Witcher 3: Wild Hunt,31,Teens,40.29,Xbox,2021,Fighting,"Amazing game, but too many bugs.",Offline
Fall Guys,18,Kids,23.81,PC,2017,Fighting,"Disappointing game, but the gameplay is amazing.",Online
Super Smash Bros. Ultimate,29,All Ages,33.56,PC,2019,Puzzle,"Disappointing game, but the graphics could be better.",Offline
The Sims 4,31,Teens,39.26,PlayStation,2018,RPG,"Great game, but the graphics could be better.",Online
Mario Kart 8 Deluxe,40,Adults,48.85,PC,2013,Simulation,"Solid game, but the gameplay is amazing.",Offline
Among Us,40,Adults,51.64,Mobile,2019,Adventure,"Great game, but too many bugs.",Offline
FIFA 24,30,Adults,28.04,PC,2014,Sports,"Disappointing game, but the gameplay is amazing.",Online
FIFA 24,30,Kids,48.76,Nintendo Switch,2022,Action,"Solid game, but the graphics could be better.",Online
Mario Kart 8 Deluxe,30,Adults,43.80,Mobile,2023,RPG,"Amazing game, but the gameplay is amazing.",Online
Sid Meier’s Civilization VI,35,Kids,40.85,Mobile,2020,Puzzle,"Amazing game, but too many bugs.",Offline
Hades,23,Kids,39.48,PlayStation,2019,Puzzle,"Solid game, but too many bugs.",Online
The Legend of Zelda: Breath of the Wild,30,All Ages,44.04,Xbox,2015,Adventure,"Amazing game, but the graphics could be better.",Offline
Halo Infinite,37,Adults,55.05,PlayStation,2022,Action,"Solid game, but too many bugs.",Offline
Tekken 7,35,Adults,40.92,PC,2019,Adventure,"Disappointing game, but the graphics could be better.",Online
The Sims 4,41,Kids,50.47,Nintendo Switch,2014,Strategy,"Solid game, but the gameplay is amazing.",Offline
The Legend of Zelda: Breath of the Wild,29,Kids,33.71,PlayStation,2018,Strategy,"Great game, but the graphics could be better.",Online
Tekken 7,32,Kids,55.83,Mobile,2012,Simulation,"Solid game, but the graphics could be better.",Online
Ghost of Tsushima,34,Kids,40.54,PlayStation,2019,RPG,"Disappointing game, but the gameplay is amazing.",Offline
Fortnite,38,Teens,41.73,PC,2015,Party,"Solid game, but the graphics could be better.",Offline
Sid Meier’s Civilization VI,38,Kids,37.80,PC,2013,RPG,"Great game, but too many bugs.",Offline
League of Legends,29,Adults,45.82,Nintendo Switch,2013,Shooter,"Disappointing game, but too many bugs.",Offline
Mario Kart 8 Deluxe,22,Kids,23.29,PlayStation,2015,Shooter,"Solid game, but the graphics could be better.",Offline
Cuphead,25,Kids,32.69,PlayStation,2023,Shooter,"Amazing game, but too many bugs.",Offline
Cuphead,25,Kids,30.01,Mobile,2015,Fighting,"Solid game, but the graphics could be better.",Online
FIFA 24,34,Kids,41.18,PC,2018,Sports,"Great game, but the graphics could be better.",Online
Half-Life: Alyx,38,Adults,40.63,Xbox,2019,Shooter,"Disappointing game, but too many bugs.",Offline
Cuphead,32,Teens,35.76,PC,2012,Puzzle,"Disappointing game, but the gameplay is amazing.",Offline
Red Dead Redemption 2,25,Teens,30.83,Nintendo Switch,2020,Simulation,"Great game, but the graphics could be better.",Online
The Witcher 3: Wild Hunt,29,All Ages,40.75,PlayStation,2011,Puzzle,"Disappointing game, but the gameplay is amazing.",Offline
Portal 2,36,Adults,38.12,Mobile,2016,Strategy,"Great game, but the gameplay is amazing.",Offline
Just Dance 2024,35,Kids,45.83,PC,2020,Puzzle,"Solid game, but the graphics could be better.",Online
Grand Theft Auto V,44,Kids,57.59,PlayStation,2011,RPG,"Solid game, but the gameplay is amazing.",Online
The Legend of Zelda: Breath of the Wild,33,Adults,48.69,Xbox,2017,Simulation,"Great game, but too many bugs.",Online
League of Legends,32,Teens,27.40,Nintendo Switch,2019,Adventure,"Solid game, but the graphics could be better.",Offline
Fortnite,31,Adults,40.03,PlayStation,2019,Fighting,"Great game, but the gameplay is amazing.",Online
Animal Crossing: New Horizons,33,Kids,52.77,Xbox,2020,Sports,"Great game, but the gameplay is amazing.",Offline
The Legend of Zelda: Breath of the Wild,17,Kids,26.03,PlayStation,2017,Adventure,"Disappointing game, but the graphics could be better.",Online
Super Smash Bros. Ultimate,28,All Ages,34.56,Xbox,2011,Simulation,"Great game, but too many bugs.",Online
League of Legends,20,All Ages,31.09,PC,2020,Party,"Solid game, but the graphics could be better.",Online
Half-Life: Alyx,21,Adults,21.57,Xbox,2011,Adventure,"Great game, but too many bugs.",Online
Half-Life: Alyx,46,Kids,56.41,Mobile,2017,Action,"Solid game, but too many bugs.",Offline
Minecraft,40,All Ages,49.64,Xbox,2010,Simulation,"Great game, but the graphics could be better.",Online
Tomb Raider (2013),14,Kids,27.04,Nintendo Switch,2018,Adventure,"Amazing game, but the gameplay is amazing.",Online
League of Legends,21,All Ages,36.55,Xbox,2018,Fighting,"Great game, but too many bugs.",Offline
Hades,21,Teens,36.65,Nintendo Switch,2022,Party,"Great game, but too many bugs.",Offline
Pokémon Scarlet & Violet,22,Teens,26.35,PlayStation,2010,RPG,"Amazing game, but the graphics could be better.",Online
Tetris,18,All Ages,33.68,Nintendo Switch,2015,Shooter,"Great game, but the gameplay is amazing.",Online
The Elder Scrolls V: Skyrim,25,Adults,23.24,Mobile,2022,Shooter,"Disappointing game, but too many bugs.",Online
Hades,38,Kids,43.33,Xbox,2020,Puzzle,"Amazing game, but the gameplay is amazing.",Online
Kingdom Hearts III,27,All Ages,30.02,PlayStation,2010,Party,"Disappointing game, but the graphics could be better.",Online
Ghost of Tsushima,35,All Ages,30.36,Nintendo Switch,2015,Adventure,"Great game, but the gameplay is amazing.",Online
FIFA 24,35,Adults,46.36,Nintendo Switch,2012,Sports,"Solid game, but the gameplay is amazing.",Offline
Ghost of Tsushima,23,Adults,33.54,Mobile,2014,Adventure,"Amazing game, but the graphics could be better.",Offline
Pillars of Eternity II: Deadfire,32,All Ages,53.31,Mobile,2022,Simulation,"Amazing game, but too many bugs.",Online
Kingdom Hearts III,31,Teens,52.02,Nintendo Switch,2012,Fighting,"Amazing game, but too many bugs.",Offline
Counter-Strike: Global Offensive,23,Kids,25.89,Mobile,2019,Simulation,"Great game, but too many bugs.",Online
Mario Kart 8 Deluxe,32,Teens,32.89,Xbox,2023,Adventure,"Solid game, but too many bugs.",Offline
Super Mario Odyssey,35,All Ages,46.59,PC,2017,Fighting,"Solid game, but too many bugs.",Online
The Witcher 3: Wild Hunt,36,Adults,49.62,PC,2021,Party,"Amazing game, but the graphics could be better.",Offline
The Elder Scrolls V: Skyrim,38,All Ages,58.56,PlayStation,2018,Adventure,"Solid game, but too many bugs.",Offline
League of Legends,32,Teens,55.08,PC,2023,Sports,"Disappointing game, but too many bugs.",Offline
Half-Life: Alyx,37,Adults,41.67,Mobile,2023,Adventure,"Amazing game, but the gameplay is amazing.",Offline
Spelunky 2,23,Kids,25.50,PlayStation,2019,Fighting,"Amazing game, but the graphics could be better.",Online
Red Dead Redemption 2,27,Kids,35.69,PlayStation,2012,Party,"Great game, but the gameplay is amazing.",Offline
1000-Piece Puzzle,46,Teens,58.75,PlayStation,2019,Strategy,"Amazing game, but the gameplay is amazing.",Online
Counter-Strike: Global Offensive,21,Kids,30.91,PlayStation,2022,RPG,"Great game, but too many bugs.",Online
Animal Crossing: New Horizons,36,Adults,45.34,Nintendo Switch,2020,Party,"Solid game, but the gameplay is amazing.",Online
FIFA 24,29,Kids,34.04,PC,2016,Action,"Solid game, but too many bugs.",Online
1000-Piece Puzzle,25,All Ages,42.13,Mobile,2016,RPG,"Amazing game, but the gameplay is amazing.",Online
Fortnite,22,Kids,40.71,PlayStation,2016,Fighting,"Solid game, but the graphics could be better.",Online
Pillars of Eternity II: Deadfire,25,Kids,39.72,PC,2015,Party,"Solid game, but too many bugs.",Online
Tekken 7,44,All Ages,57.16,Nintendo Switch,2019,Strategy,"Solid game, but the graphics could be better.",Offline
Minecraft,16,All Ages,26.36,PlayStation,2013,Fighting,"Amazing game, but the gameplay is amazing.",Offline
Halo Infinite,23,Adults,20.09,Mobile,2020,Sports,"Amazing game, but the graphics could be better.",Offline
The Legend of Zelda: Breath of the Wild,31,All Ages,22.76,PlayStation,2014,Strategy,"Amazing game, but the gameplay is amazing.",Online
Grand Theft Auto V,37,Teens,41.74,PlayStation,2014,Action,"Solid game, but the gameplay is amazing.",Online
Just Dance 2024,19,Adults,27.50,Mobile,2018,Simulation,"Amazing game, but the graphics could be better.",Offline
Fall Guys,44,Kids,59.38,Xbox,2019,Puzzle,"Solid game, but the gameplay is amazing.",Online
Overwatch 2,29,Teens,43.67,Xbox,2017,RPG,"Amazing game, but the gameplay is amazing.",Online
Bioshock Infinite,25,All Ages,24.22,PC,2019,Strategy,"Solid game, but the graphics could be better.",Offline
Cuphead,24,Teens,34.76,Nintendo Switch,2011,RPG,"Amazing game, but the graphics could be better.",Offline
Fortnite,37,Adults,47.10,Mobile,2017,Shooter,"Amazing game, but too many bugs.",Online
Tetris,36,Teens,41.71,Mobile,2023,Fighting,"Disappointing game, but the gameplay is amazing.",Online
Pokémon Scarlet & Violet,11,Kids,22.13,Nintendo Switch,2021,RPG,"Great game, but the graphics could be better.",Offline
The Sims 4,29,Adults,55.70,PlayStation,2016,Strategy,"Amazing game, but too many bugs.",Online
Portal 2,33,Teens,41.42,PC,2011,Party,"Solid game, but the graphics could be better.",Offline
Red Dead Redemption 2,30,Adults,46.11,Mobile,2011,Simulation,"Amazing game, but too many bugs.",Online
Just Dance 2024,20,Teens,23.80,Xbox,2013,Adventure,"Amazing game, but too many bugs.",Online
Pokémon Scarlet & Violet,26,All Ages,34.03,PC,2023,Action,"Great game, but too many bugs.",Offline
League of Legends,42,All Ages,50.29,PlayStation,2019,Simulation,"Amazing game, but the gameplay is amazing.",Online
Sid Meier’s Civilization VI,46,Kids,56.32,Nintendo Switch,2011,RPG,"Amazing game, but too many bugs.",Offline
Tetris,24,All Ages,30.93,PlayStation,2013,Puzzle,"Disappointing game, but too many bugs.",Online
1000-Piece Puzzle,26,All Ages,49.92,PC,2020,Adventure,"Disappointing game, but the gameplay is amazing.",Offline
Bioshock Infinite,37,All Ages,49.87,PlayStation,2011,Party,"Solid game, but the graphics could be better.",Online
Call of Duty: Modern Warfare 2,16,Kids,29.06,Mobile,2019,Adventure,"Disappointing game, but the graphics could be better.",Offline
Call of Duty: Modern Warfare 2,25,Teens,28.10,Xbox,2020,Strategy,"Disappointing game, but the graphics could be better.",Offline
The Witcher 3: Wild Hunt,37,All Ages,54.73,Xbox,2018,Fighting,"Amazing game, but the graphics could be better.",Offline
Hitman 3,31,Adults,25.51,Nintendo Switch,2023,Adventure,"Amazing game, but the gameplay is amazing.",Offline
Fall Guys,42,Teens,49.40,Mobile,2021,Fighting,"Great game, but the graphics could be better.",Offline
Bioshock Infinite,29,Teens,45.77,PlayStation,2023,Adventure,"Disappointing game, but too many bugs.",Online
The Witcher 3: Wild Hunt,31,Adults,31.55,Xbox,2018,RPG,"Amazing game, but the graphics could be better.",Offline
Call of Duty: Modern Warfare 2,24,All Ages,41.99,PC,2018,Adventure,"Great game, but the gameplay is amazing.",Offline
Half-Life: Alyx,29,Adults,39.66,Xbox,2018,Party,"Disappointing game, but too many bugs.",Offline
Portal 2,30,Kids,55.91,PC,2011,RPG,"Amazing game, but the graphics could be better.",Online
Spelunky 2,19,Adults,25.85,Xbox,2015,Party,"Amazing game, but too many bugs.",Offline
Rocket League,28,All Ages,35.93,PC,2020,Adventure,"Disappointing game, but too many bugs.",Offline
Tetris,13,Adults,21.50,PC,2017,Simulation,"Disappointing game, but too many bugs.",Online
Tekken 7,16,Adults,24.13,Mobile,2016,Adventure,"Disappointing game, but the gameplay is amazing.",Offline
The Legend of Zelda: Breath of the Wild,30,Kids,39.51,Nintendo Switch,2011,Shooter,"Amazing game, but the graphics could be better.",Online
FIFA 24,40,Kids,48.02,Mobile,2021,Action,"Disappointing game, but too many bugs.",Offline
Minecraft,48,Kids,58.08,Xbox,2014,Action,"Great game, but the gameplay is amazing.",Offline
Fortnite,29,Kids,48.91,PlayStation,2013,Fighting,"Great game, but the gameplay is amazing.",Offline
Street Fighter V,24,All Ages,35.97,PC,2012,RPG,"Solid game, but too many bugs.",Online
Spelunky 2,33,Adults,56.19,PC,2020,Fighting,"Solid game, but the graphics could be better.",Offline
The Elder Scrolls V: Skyrim,26,Adults,32.74,Xbox,2019,Puzzle,"Solid game, but the gameplay is amazing.",Offline
FIFA 24,34,Adults,40.54,Nintendo Switch,2018,Sports,"Solid game, but the graphics could be better.",Offline
Hitman 3,29,Teens,27.66,Xbox,2021,RPG,"Amazing game, but too many bugs.",Offline
Pillars of Eternity II: Deadfire,16,Kids,26.36,Xbox,2010,Party,"Solid game, but the gameplay is amazing.",Online
Hades,22,All Ages,23.28,Mobile,2016,Puzzle,"Disappointing game, but the gameplay is amazing.",Offline
The Legend of Zelda: Breath of the Wild,34,Teens,52.55,Xbox,2020,Simulation,"Disappointing game, but the graphics could be better.",Online
Sid Meier’s Civilization VI,26,Kids,45.91,PC,2012,Fighting,"Great game, but too many bugs.",Online
Mario Kart 8 Deluxe,35,Adults,54.41,Mobile,2011,Sports,"Disappointing game, but too many bugs.",Offline
Spelunky 2,21,Kids,30.33,PlayStation,2021,Strategy,"Disappointing game, but the gameplay is amazing.",Offline
Pillars of Eternity II: Deadfire,28,Teens,22.68,Mobile,2011,Party,"Great game, but the graphics could be better.",Online
Super Smash Bros. Ultimate,22,Teens,38.44,Mobile,2021,Shooter,"Great game, but the gameplay is amazing.",Online
Overwatch 2,18,Teens,26.95,PlayStation,2023,Simulation,"Great game, but too many bugs.",Offline
Portal 2,34,Kids,57.33,PC,2016,Shooter,"Solid game, but too many bugs.",Online
Just Dance 2024,28,Teens,28.82,Xbox,2023,Party,"Amazing game, but the graphics could be better.",Online
Kingdom Hearts III,20,Adults,26.23,Mobile,2012,Simulation,"Disappointing game, but the gameplay is amazing.",Online
Halo Infinite,34,All Ages,39.69,PC,2012,Shooter,"Disappointing game, but the graphics could be better.",Offline
Half-Life: Alyx,35,Adults,44.52,PlayStation,2019,Action,"Solid game, but too many bugs.",Online
Kingdom Hearts III,34,Teens,42.57,Nintendo Switch,2011,Adventure,"Amazing game, but too many bugs.",Online
Hitman 3,36,Adults,40.84,Mobile,2021,Sports,"Great game, but too many bugs.",Online
Among Us,38,Teens,59.02,PlayStation,2017,Action,"Solid game, but the gameplay is amazing.",Online
The Witcher 3: Wild Hunt,18,Kids,25.87,Mobile,2012,Adventure,"Disappointing game, but too many bugs.",Online
Rocket League,30,Adults,50.19,PlayStation,2019,Adventure,"Solid game, but the graphics could be better.",Offline
Stardew Valley,17,Teens,26.28,Nintendo Switch,2010,Fighting,"Solid game, but the gameplay is amazing.",Online
Kingdom Hearts III,26,Teens,21.83,PlayStation,2018,Action,"Great game, but the graphics could be better.",Online
Cuphead,28,All Ages,40.43,PlayStation,2012,Sports,"Solid game, but the gameplay is amazing.",Offline
FIFA 24,33,Teens,27.33,Nintendo Switch,2012,Strategy,"Amazing game, but too many bugs.",Online
Fortnite,18,Kids,26.11,PC,2010,Shooter,"Solid game, but too many bugs.",Online
League of Legends,27,Adults,32.59,PC,2019,Action,"Amazing game, but the gameplay is amazing.",Online
Hitman 3,31,All Ages,31.07,PlayStation,2013,Puzzle,"Great game, but the gameplay is amazing.",Online
The Witcher 3: Wild Hunt,27,All Ages,39.65,PlayStation,2013,Fighting,"Amazing game, but the gameplay is amazing.",Online
Red Dead Redemption 2,28,Teens,25.38,Xbox,2023,RPG,"Disappointing game, but the graphics could be better.",Offline
The Sims 4,35,Adults,56.20,Xbox,2011,Adventure,"Solid game, but the gameplay is amazing.",Online
The Legend of Zelda: Breath of the Wild,32,Teens,56.06,PlayStation,2010,Simulation,"Amazing game, but too many bugs.",Online
Sid Meier’s Civilization VI,25,Adults,24.34,Mobile,2017,RPG,"Great game, but the gameplay is amazing.",Online
The Elder Scrolls V: Skyrim,20,Kids,21.02,PC,2022,Action,"Amazing game, but the graphics could be better.",Online
Street Fighter V,33,Teens,51.17,Nintendo Switch,2016,Party,"Great game, but the gameplay is amazing.",Online
The Sims 4,45,Teens,59.79,Mobile,2019,Action,"Amazing game, but the graphics could be better.",Offline
Stardew Valley,31,Kids,27.88,PlayStation,2018,Strategy,"Solid game, but the graphics could be better.",Offline
Half-Life: Alyx,26,Adults,25.82,Nintendo Switch,2011,Action,"Solid game, but the graphics could be better.",Offline
Sid Meier’s Civilization VI,23,Kids,39.34,Nintendo Switch,2020,Shooter,"Great game, but the graphics could be better.",Offline
Hitman 3,39,Teens,49.28,PC,2021,Strategy,"Great game, but the graphics could be better.",Online
The Witcher 3: Wild Hunt,24,Kids,38.82,PC,2021,RPG,"Amazing game, but the graphics could be better.",Online
Tetris,34,Teens,50.59,PlayStation,2014,Fighting,"Solid game, but the gameplay is amazing.",Online
Ghost of Tsushima,24,Adults,31.24,Xbox,2018,Simulation,"Solid game, but the graphics could be better.",Offline
League of Legends,23,All Ages,40.01,PC,2016,Puzzle,"Great game, but the graphics could be better.",Online
Mario Kart 8 Deluxe,23,Kids,41.66,Mobile,2017,Action,"Great game, but too many bugs.",Offline
The Elder Scrolls V: Skyrim,37,Adults,49.52,Nintendo Switch,2014,Fighting,"Amazing game, but too many bugs.",Online
Bioshock Infinite,32,Teens,33.97,Nintendo Switch,2021,Shooter,"Great game, but too many bugs.",Online
Spelunky 2,34,Teens,35.46,PC,2020,Party,"Amazing game, but the gameplay is amazing.",Offline
Among Us,25,All Ages,42.92,Mobile,2023,RPG,"Great game, but the graphics could be better.",Offline
Ghost of Tsushima,22,Adults,28.28,Nintendo Switch,2012,Fighting,"Solid game, but too many bugs.",Offline
Super Mario Odyssey,30,Kids,42.33,Nintendo Switch,2011,RPG,"Great game, but the gameplay is amazing.",Offline
The Legend of Zelda: Breath of the Wild,35,Teens,47.78,Mobile,2015,Strategy,"Great game, but the graphics could be better.",Online
Among Us,18,Adults,21.50,PlayStation,2020,Fighting,"Solid game, but the gameplay is amazing.",Online
Rocket League,37,Kids,51.05,Xbox,2018,Adventure,"Amazing game, but the graphics could be better.",Online
Fall Guys,32,Teens,37.36,Mobile,2018,Sports,"Disappointing game, but the gameplay is amazing.",Offline
Mario Kart 8 Deluxe,34,Kids,42.60,Nintendo Switch,2013,Sports,"Amazing game, but too many bugs.",Online
Call of Duty: Modern Warfare 2,23,Adults,35.90,Mobile,2013,Adventure,"Disappointing game, but the gameplay is amazing.",Offline
1000-Piece Puzzle,28,All Ages,37.44,Xbox,2010,Strategy,"Disappointing game, but the gameplay is amazing.",Offline
Half-Life: Alyx,39,Teens,47.71,Mobile,2010,Fighting,"Amazing game, but too many bugs.",Offline
Bioshock Infinite,21,Teens,30.71,Mobile,2020,Strategy,"Solid game, but the gameplay is amazing.",Online
Portal 2,26,Kids,31.59,Mobile,2017,Strategy,"Great game, but the gameplay is amazing.",Offline
Call of Duty: Modern Warfare 2,39,Kids,54.74,PlayStation,2020,Shooter,"Solid game, but the graphics could be better.",Online
Stardew Valley,37,Teens,51.56,PC,2017,Action,"Solid game, but too many bugs.",Online
Half-Life: Alyx,23,Teens,39.56,Nintendo Switch,2023,Adventure,"Great game, but too many bugs.",Online
Hitman 3,28,Kids,22.16,PlayStation,2014,Fighting,"Disappointing game, but too many bugs.",Offline
League of Legends,28,Adults,36.91,PC,2017,Action,"Solid game, but the gameplay is amazing.",Offline
Hades,29,Kids,51.42,PlayStation,2020,RPG,"Great game, but the gameplay is amazing.",Online
Cuphead,24,Teens,28.01,Nintendo Switch,2019,Action,"Great game, but too many bugs.",Offline
FIFA 24,26,Kids,24.52,PC,2018,Sports,"Solid game, but the gameplay is amazing.",Online
Bioshock Infinite,27,All Ages,43.55,Mobile,2018,Adventure,"Amazing game, but too many bugs.",Online
Hitman 3,23,Teens,20.19,Nintendo Switch,2013,Sports,"Amazing game, but too many bugs.",Online
Pillars of Eternity II: Deadfire,26,Adults,30.03,PC,2014,RPG,"Amazing game, but the graphics could be better.",Online
Sid Meier’s Civilization VI,41,All Ages,59.50,Mobile,2021,Sports,"Great game, but the gameplay is amazing.",Online
Counter-Strike: Global Offensive,29,Teens,33.91,Mobile,2018,Strategy,"Disappointing game, but the graphics could be better.",Offline
Cuphead,28,Teens,39.37,Xbox,2023,Shooter,"Disappointing game, but the gameplay is amazing.",Offline
1000-Piece Puzzle,32,Adults,42.15,Xbox,2011,Strategy,"Disappointing game, but too many bugs.",Online
Animal Crossing: New Horizons,31,Adults,37.79,Xbox,2019,Shooter,"Amazing game, but the graphics could be better.",Online
FIFA 24,30,Kids,58.17,Nintendo Switch,2015,Adventure,"Disappointing game, but the gameplay is amazing.",Online
Cuphead,36,All Ages,39.64,Nintendo Switch,2023,Puzzle,"Great game, but the graphics could be better.",Online
Tekken 7,21,Adults,22.59,Mobile,2019,Sports,"Disappointing game, but the gameplay is amazing.",Online
Counter-Strike: Global Offensive,30,All Ages,27.80,PlayStation,2011,Simulation,"Great game, but too many bugs.",Online
Halo Infinite,33,Teens,28.08,PC,2017,Sports,"Disappointing game, but the graphics could be better.",Online
Street Fighter V,31,Kids,33.87,PlayStation,2016,Adventure,"Disappointing game, but too many bugs.",Online
FIFA 24,30,All Ages,36.01,PlayStation,2011,Fighting,"Solid game, but the graphics could be better.",Offline
The Elder Scrolls V: Skyrim,12,Teens,20.14,Xbox,2014,Shooter,"Disappointing game, but the graphics could be better.",Offline
